"id","lat","lon","BAS_ID","tmp_dc_syr","pre_mm_syr","BAS_Class","BA_km2","obRSSA_km2","mnRSSA_pc","sdRSSA_pc","rayRSSA_pc","difRSSA_pc"
1,31.13,-81.86,7000043640,194,1309,"B",37488.9,82.4504388614,0.396234633829,0.0750870742524,0.499548414326,-0.103313780497
2,31.28,-82.36,7000043740,193,1261,"C",8872.68,0,0.495506826327,0.0658485435992,0.781035992137,-0.28552916581
3,39.57,-105.86,7000008710,-9,654,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
4,39.27,-106.07,7000008710,-19,668,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
5,39.28,-106.07,7000008710,-19,668,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
6,39.35,-106.21,7000008710,-14,631,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
7,39.2,-106.08,7000047060,6,452,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
8,44.89,-68.13,7000038570,56,1179,"C",2055.68,0,0.938752095135,0.162497655096,0.894052745867,0.0446993492682
9,44.89,-68.13,7000038570,56,1179,"C",2055.68,0,0.938752095135,0.162497655096,0.894052745867,0.0446993492682
10,44.88,-68.14,7000038570,56,1179,"C",2055.68,0,0.938752095135,0.162497655096,0.894052745867,0.0446993492682
11,44.88,-68.14,7000038570,56,1179,"C",2055.68,0,0.938752095135,0.162497655096,0.894052745867,0.0446993492682
12,44.88,-68.12,7000038570,56,1179,"C",2055.68,0,0.938752095135,0.162497655096,0.894052745867,0.0446993492682
13,44.88,-68.12,7000038570,56,1179,"C",2055.68,0,0.938752095135,0.162497655096,0.894052745867,0.0446993492682
14,44.88,-68.1,7000038570,56,1179,"C",2055.68,0,0.938752095135,0.162497655096,0.894052745867,0.0446993492682
15,44.88,-68.12,7000038570,56,1179,"C",2055.68,0,0.938752095135,0.162497655096,0.894052745867,0.0446993492682
16,44.88,-68.14,7000038570,56,1179,"C",2055.68,0,0.938752095135,0.162497655096,0.894052745867,0.0446993492682
17,35.06,-83.45,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
18,35.06,-83.44,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
19,36.5,-111.85,7000008710,125,203,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
20,36.17,-111.81,7000008710,125,244,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
21,36.28,-112.49,7000008710,122,299,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
22,36.72,-112.85,7000008710,127,314,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
23,35.77,-113.36,7000008710,155,239,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
24,35.06,-83.43,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
25,35.05,-83.43,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
26,46.47,-88.9,7000034520,43,805,"B",1055760,3627.02482843,0.565829208828,0.0829758858937,1.26649819763,-0.700668988802
27,46.47,-88.9,7000034520,43,805,"B",1055760,3627.02482843,0.565829208828,0.0829758858937,1.26649819763,-0.700668988802
28,46.47,-88.9,7000034520,43,805,"B",1055760,3627.02482843,0.565829208828,0.0829758858937,1.26649819763,-0.700668988802
29,46.42,-88.9,7000034520,43,805,"B",1055760,3627.02482843,0.565829208828,0.0829758858937,1.26649819763,-0.700668988802
30,46.42,-88.9,7000034520,43,805,"B",1055760,3627.02482843,0.565829208828,0.0829758858937,1.26649819763,-0.700668988802
31,46.42,-88.9,7000034520,43,805,"B",1055760,3627.02482843,0.565829208828,0.0829758858937,1.26649819763,-0.700668988802
32,46.44,-88.9,7000034520,43,805,"B",1055760,3627.02482843,0.565829208828,0.0829758858937,1.26649819763,-0.700668988802
33,46.44,-88.9,7000034520,43,805,"B",1055760,3627.02482843,0.565829208828,0.0829758858937,1.26649819763,-0.700668988802
34,46.44,-88.9,7000034520,43,805,"B",1055760,3627.02482843,0.565829208828,0.0829758858937,1.26649819763,-0.700668988802
35,42.35,-72.51,7000039620,80,1139,"B",29052.5,124.803808219,0.947825500496,0.15351322116,0.894052745867,0.0537727546293
36,33.75,-111.5,7000008710,172,517,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
37,47.61,-120,7000014930,71,304,"B",671064,1092.00654225,0.286051545185,0.0412199402056,0.968599051858,-0.682547506673
38,46.46,-119.72,7000014930,100,219,"B",671064,1092.00654225,0.286051545185,0.0412199402056,0.968599051858,-0.682547506673
39,46.49,-119.79,7000014930,100,219,"B",671064,1092.00654225,0.286051545185,0.0412199402056,0.968599051858,-0.682547506673
40,35.06,-83.43,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
41,39.05,-79.68,7000047060,91,1267,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
42,39.05,-79.68,7000047060,91,1267,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
43,39.32,-79.66,7000047060,90,1295,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
44,39.053,-79.513,7000047060,82,1313,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
45,35.06,-83.4,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
46,35.04,-83.46,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
47,35.05,-83.4,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
48,35.04,-83.45,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
49,35.06,-83.4,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
50,35.06,-83.42,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
51,35.07,-83.39,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
52,35.08,-83.38,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
53,35.09,-83.38,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
54,35.23,-83.39,7000047060,121,1607,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
55,35.33,-83.52,7000047060,118,1599,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
56,43.94,-71.72,7000039160,49,1170,"C",13039.9,0,0.842991850319,0.106111642124,0.894052745867,-0.0510608955481
57,43.93,-71.69,7000039160,49,1170,"C",13039.9,0,0.842991850319,0.106111642124,0.894052745867,-0.0510608955481
58,38.29,-81.1,7000047060,110,1196,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
59,38.23,-81.19,7000047060,115,1160,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
60,38.2,-85.56,7000047060,129,1176,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
61,38.27,-85.56,7000047060,129,1145,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
62,38.3,-81.04,7000047060,110,1196,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
63,37.87,-85.62,7000047060,133,1221,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
64,38.28,-81.12,7000047060,110,1196,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
65,38.3,-81.11,7000047060,110,1196,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
66,38.31,-85.61,7000047060,129,1145,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
67,38.29,-81.08,7000047060,110,1196,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
68,38.3,-81.04,7000047060,110,1196,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
69,37.81,-86.29,7000047060,129,1204,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
70,38.31,-81.03,7000047060,110,1196,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
71,38.12,-85.75,7000047060,132,1149,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
72,44.76,-112.25,7000047060,14,425,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
73,37.61,-118.83,7000013550,33,517,"B",156400,158.579573357,0.163278349931,0.0285140895944,0.573615014614,-0.410336664683
74,40.23,-105.63,7000008710,6,632,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
75,40.23,-105.63,7000008710,6,632,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
76,40.21,-105.44,7000047060,63,423,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
77,40.21,-105.44,7000047060,63,423,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
78,40.21,-105.52,7000008710,6,632,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
79,40.21,-105.52,7000008710,6,632,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
80,40.21,-105.63,7000008710,6,632,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
81,40.21,-105.63,7000008710,6,632,"B",661274,326.949929462,0.0704965964036,0.0148968106655,0.125590034543,-0.0550934381394
82,37.9,-79.51,7000041900,117,1059,"C",18254.2,0,0.5898472182,0.0677669275774,0.894052745867,-0.304205527667
83,37.92,-79.5,7000041900,110,1085,"C",18254.2,0,0.5898472182,0.0677669275774,0.894052745867,-0.304205527667
84,37.94,-79.48,7000041900,110,1085,"C",18254.2,0,0.5898472182,0.0677669275774,0.894052745867,-0.304205527667
85,37.95,-79.47,7000041900,110,1085,"C",18254.2,0,0.5898472182,0.0677669275774,0.894052745867,-0.304205527667
86,37.93,-79.49,7000041900,110,1085,"C",18254.2,0,0.5898472182,0.0677669275774,0.894052745867,-0.304205527667
87,42.34,-73.03,7000039620,66,1207,"B",29052.5,124.803808219,0.947825500496,0.15351322116,0.894052745867,0.0537727546293
88,44.11,-112.88,7000014930,33,302,"B",671064,1092.00654225,0.286051545185,0.0412199402056,0.968599051858,-0.682547506673
89,44,-113.21,7000014930,20,348,"B",671064,1092.00654225,0.286051545185,0.0412199402056,0.968599051858,-0.682547506673
90,40.59,-105.08,7000047060,90,370,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
91,40.58,-105.05,7000047060,90,370,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
92,40.57,-105.03,7000047060,90,370,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
93,40.54,-105,7000047060,92,361,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
94,40.53,-104.99,7000047060,92,361,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
95,40.51,-104.98,7000047060,92,361,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
96,37.14,-77.09,7000041930,144,1142,"C",425.002,0,0.45662909464,0.0962718826041,0.894052745867,-0.437423651227
97,37.11,-77.03,7000041930,144,1142,"C",425.002,0,0.45662909464,0.0962718826041,0.894052745867,-0.437423651227
98,39.08,-96.58,7000047060,120,869,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
99,35.06,-83.43,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
100,35.05,-83.43,7000043500,120,1763,"C",27164,0,0.62538944447,0.0658719491688,0.499548414326,0.125841030144
101,39.1,-96.57,7000047060,120,869,"A",3244510,8221.67923592,0.468022637942,0.0186390573091,0.781035992137,-0.313013354195
